entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label,primary_ip,primary_geo,fingerprint,login_hour,day_of_week,command_length,unique_resources,failed_login_count,is_known_device,is_known_location,auth_method_encoded,entity_type_encoded,anomaly_prediction,anomaly_score,predicted_attack_type,prediction_confidence
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,user,2023-10-01 03:00:00.000000,146.133.85.19,Belgium,sensitive_db,token,60,QUERY -> EXPORT_SMALL_CHUNK,macOS 14 | MAC: a2:77:33:c2:8e:e8 | TCP/IP,anomaly_low_slow_exfil,146.133.85.19,Belgium,macOS 14 | MAC: a2:77:33:c2:8e:e8 | TCP/IP,3,6,2,1,0,0,0,3,2,-1,-0.0314329627709807,normal,0.3651020636027163
f4188f3f-8a14-4e62-a95b-4715c333e861,user,2023-10-01 05:03:37.547468,176.4.175.90,Netherlands Antilles,port:22,certificate,844,DELETE -> LOGOUT,Ubuntu 22.04 | MAC: e0:a5:fa:09:39:b9 | TCP/IP,normal,,,,5,6,2,1,0,0,0,1,2,-1,-0.0168825872188668,normal,0.8743106701578269
4eb93eff-ce88-4b2d-94e8-0839fc3e058b,user,2023-10-01 05:47:24.763094,115.218.156.42,Turkey,db_query,password,3499,LOGIN -> READ,macOS 13 | MAC: 20:28:2b:f8:23:40 | TCP/IP,normal,,,,5,6,2,1,0,0,0,2,2,-1,-0.0156123757541075,normal,0.8574197704963495
527eecfa-a79a-49aa-9b4e-2c249479e1e6,user,2023-10-01 06:33:32.703483,30.38.44.77,Peru,/etc/passwd,token,3030,READ -> LOGIN,macOS 13 | MAC: 82:6d:f2:56:2b:91 | TCP/IP,normal,,,,6,6,2,1,0,0,0,3,2,-1,-0.0013436491302313,normal,0.8897399898002925
016b6287-b008-45cc-a7f3-6ae925c73c44,service_account,2023-10-01 06:46:15.907164,211.105.41.194,Slovakia (Slovak Republic),/etc/passwd,password,1690,EXECUTE -> LOGOUT,macOS 14 | MAC: 8e:d9:70:5a:ed:19 | TCP/IP,normal,,,,6,6,2,1,0,0,0,2,1,1,0.0041323700597459,Normal,1.0
f4188f3f-8a14-4e62-a95b-4715c333e861,user,2023-10-01 07:19:21.727003,176.4.175.90,Netherlands Antilles,/etc/passwd,token,892,DELETE -> READ,Ubuntu 22.04 | MAC: e0:a5:fa:09:39:b9 | TCP/IP,normal,,,,7,6,2,1,0,1,1,3,2,1,0.0532647298783645,Normal,1.0
f4188f3f-8a14-4e62-a95b-4715c333e861,user,2023-10-01 07:34:44.851840,176.4.175.90,Netherlands Antilles,port:22,biometric,2452,LOGIN -> DELETE,Ubuntu 22.04 | MAC: e0:a5:fa:09:39:b9 | TCP/IP,normal,,,,7,6,2,1,0,1,1,0,2,1,0.0411354033729431,Normal,1.0
6d7ce3c9-b4a6-4f3c-8d3a-ed99711c21c9,user,2023-10-01 07:41:47.491700,2.114.143.17,Belarus,/api/v1/data,token,1096,EXECUTE -> DELETE,macOS 14 | MAC: 20:4c:12:bd:4b:dc | TCP/IP,normal,,,,7,6,2,1,0,0,0,3,2,1,0.0044390066724183,Normal,1.0
e623a689-5d59-4d2a-8eea-04e70ab54bde,user,2023-10-01 07:49:23.949380,204.81.180.103,United Arab Emirates,/api/v1/data,token,2883,LOGOUT -> LOGIN,Firmware v1.2 | MAC: c6:b7:6b:7f:34:b5 | TCP/IP,normal,,,,7,6,2,1,0,0,0,3,2,-1,-0.0006902195259732,normal,0.8981036261639288
4f2d4796-81d2-47de-8ce1-eb90e6697833,user,2023-10-01 07:53:43.087203,148.224.46.65,Iraq,db_query,token,354,LOGIN -> LOGIN,Ubuntu 22.04 | MAC: ac:97:41:62:d7:c2 | TCP/IP,normal,,,,7,6,2,1,0,0,0,3,2,-1,-0.0088753978811902,normal,0.8702043124650837
016b6287-b008-45cc-a7f3-6ae925c73c44,service_account,2023-10-01 07:56:43.657869,211.105.41.194,Slovakia (Slovak Republic),/etc/passwd,token,401,LOGIN -> EXECUTE,macOS 14 | MAC: 8e:d9:70:5a:ed:19 | TCP/IP,normal,,,,7,6,2,1,0,1,1,3,1,1,0.0112771005389064,Normal,1.0
4d71c366-b41b-4143-8b10-550cd5704f32,edge_device,2023-10-01 08:24:24.775027,128.128.44.124,Papua New Guinea,port:22,certificate,625,DELETE -> LOGOUT,macOS 13 | MAC: e2:99:35:44:87:3b | TCP/IP,normal,,,,8,6,2,1,0,0,0,1,0,-1,-0.0396418449123995,normal,0.9379768590172894
55fa1ab8-458f-4f19-bc07-c57449257af1,user,2023-10-01 08:39:54.545620,37.40.47.50,Burundi,file_share,token,2332,EXECUTE -> LOGOUT,Windows 10 | MAC: 10:4d:76:c4:4e:6d | TCP/IP,normal,,,,8,6,2,1,0,0,0,3,2,1,0.0062641138649354,Normal,1.0
f4188f3f-8a14-4e62-a95b-4715c333e861,user,2023-10-01 08:50:11.207227,176.4.175.90,Netherlands Antilles,port:22,password,2186,WRITE -> DELETE,Ubuntu 22.04 | MAC: e0:a5:fa:09:39:b9 | TCP/IP,normal,,,,8,6,2,1,0,1,1,2,2,1,0.0781089363695038,Normal,1.0
27cb6f2a-8da0-4097-be0f-051b1b66b5a9,user,2023-10-01 08:56:09.899870,124.215.175.76,Saint Barthelemy,system_config,password,2241,WRITE -> READ,Windows 10 | MAC: e6:af:68:87:fa:80 | TCP/IP,normal,,,,8,6,2,1,0,0,0,2,2,1,0.0066835261899322,Normal,1.0
f4188f3f-8a14-4e62-a95b-4715c333e861,user,2023-10-01 08:59:25.624561,176.4.175.90,Netherlands Antilles,/etc/passwd,token,2438,DELETE -> EXECUTE,Ubuntu 22.04 | MAC: e0:a5:fa:09:39:b9 | TCP/IP,normal,,,,8,6,2,1,0,1,1,3,2,1,0.0608211661994317,Normal,1.0
1c11f735-dc71-4d96-8c0f-d195c17af08a,edge_device,2023-10-01 09:03:16.478236,106.143.73.72,Somalia,file_share,biometric,11,READ -> READ,Windows 11 | MAC: 86:d8:20:c5:c3:ef | TCP/IP,normal,,,,9,6,2,1,0,0,0,0,0,-1,-0.0594139556023606,normal,0.8103822153729154
27cb6f2a-8da0-4097-be0f-051b1b66b5a9,user,2023-10-01 09:03:44.397433,124.215.175.76,Saint Barthelemy,file_share,biometric,1838,WRITE -> READ,Windows 10 | MAC: e6:af:68:87:fa:80 | TCP/IP,normal,,,,9,6,2,1,0,1,1,0,2,1,0.0680297467377401,Normal,1.0
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,user,2023-10-01 09:10:16.196453,146.133.85.19,Belgium,port:22,password,3240,DELETE -> LOGIN,macOS 14 | MAC: a2:77:33:c2:8e:e8 | TCP/IP,normal,,,,9,6,2,1,0,1,1,2,2,1,0.0638366756547477,Normal,1.0
ccf3a171-56dc-4907-ba6c-34ab6712303a,user,2023-10-01 09:17:13.404211,215.244.254.32,Congo,/etc/passwd,token,2760,READ -> WRITE,Ubuntu 22.04 | MAC: 46:61:e5:47:d8:5d | TCP/IP,normal,,,,9,6,2,1,0,0,0,3,2,1,0.0066219037740814,Normal,1.0
016b6287-b008-45cc-a7f3-6ae925c73c44,service_account,2023-10-01 09:26:01.085539,211.105.41.194,Slovakia (Slovak Republic),/etc/passwd,biometric,153,WRITE -> LOGIN,macOS 14 | MAC: 8e:d9:70:5a:ed:19 | TCP/IP,normal,,,,9,6,2,1,0,1,1,0,1,1,0.0121953010843057,Normal,1.0
4f2d4796-81d2-47de-8ce1-eb90e6697833,user,2023-10-01 09:32:01.316608,148.224.46.65,Iraq,db_query,certificate,44,LOGIN -> WRITE,Ubuntu 22.04 | MAC: ac:97:41:62:d7:c2 | TCP/IP,normal,,,,9,6,2,1,0,1,1,1,2,1,0.0554526043013654,Normal,1.0
dc1110c1-080a-4dfb-a7c9-9b26114125c6,user,2023-10-01 09:37:26.778795,47.59.119.203,Fiji,file_share,token,2106,LOGOUT -> READ,macOS 13 | MAC: c8:f8:6d:43:f2:7c | TCP/IP,normal,,,,9,6,2,1,0,0,0,3,2,1,0.0131603595974616,Normal,1.0
5ec42e08-29a3-42e9-9d65-a441d58842de,service_account,2023-10-01 10:00:00.000000,49.22.42.33,Reunion,restricted_folder_0,certificate,300,READ -> COPY,Ubuntu 22.04 | MAC: 60:24:57:7d:53:ec | TCP/IP,edge_case_insider_drift,49.22.42.33,Reunion,Ubuntu 22.04 | MAC: 60:24:57:7d:53:ec | TCP/IP,10,6,2,1,0,0,0,1,1,-1,-0.0133388656781691,normal,0.7569414676035483
6d7ce3c9-b4a6-4f3c-8d3a-ed99711c21c9,user,2023-10-01 10:00:14.316622,2.114.143.17,Belarus,db_query,password,3224,WRITE -> WRITE,macOS 14 | MAC: 20:4c:12:bd:4b:dc | TCP/IP,normal,,,,10,6,2,1,0,1,1,2,2,1,0.0654744038184536,Normal,1.0
1c11f735-dc71-4d96-8c0f-d195c17af08a,edge_device,2023-10-01 10:03:16.089439,106.143.73.72,Somalia,port:22,biometric,562,WRITE -> DELETE,Windows 11 | MAC: 86:d8:20:c5:c3:ef | TCP/IP,normal,,,,10,6,2,1,0,1,1,0,0,-1,-0.0113820749448382,normal,0.9384347659182026
dc1110c1-080a-4dfb-a7c9-9b26114125c6,user,2023-10-01 10:06:08.812774,47.59.119.203,Fiji,/etc/passwd,certificate,3062,READ -> DELETE,macOS 13 | MAC: c8:f8:6d:43:f2:7c | TCP/IP,normal,,,,10,6,2,1,0,1,1,1,2,1,0.0709279495247593,Normal,1.0
527eecfa-a79a-49aa-9b4e-2c249479e1e6,user,2023-10-01 10:09:17.055413,30.38.44.77,Peru,/etc/passwd,certificate,3263,EXECUTE -> LOGOUT,macOS 13 | MAC: 82:6d:f2:56:2b:91 | TCP/IP,normal,,,,10,6,2,1,0,1,1,1,2,1,0.0532498261671706,Normal,1.0
6d7ce3c9-b4a6-4f3c-8d3a-ed99711c21c9,user,2023-10-01 10:09:48.468684,2.114.143.17,Belarus,/etc/passwd,token,2127,READ -> EXECUTE,macOS 14 | MAC: 20:4c:12:bd:4b:dc | TCP/IP,normal,,,,10,6,2,1,0,1,1,3,2,1,0.0826529257804536,Normal,1.0
17a0df49-0d01-480f-989a-40c0e87d1c78,user,2023-10-01 10:34:16.093212,145.181.32.252,Aruba,/etc/passwd,certificate,3038,WRITE -> LOGIN,macOS 14 | MAC: bc:01:aa:42:86:52 | TCP/IP,normal,,,,10,6,2,1,0,0,0,1,2,-1,-0.0013642875457686,normal,0.9283339698711939
1c11f735-dc71-4d96-8c0f-d195c17af08a,edge_device,2023-10-01 10:36:42.797194,106.143.73.72,Somalia,/api/v1/data,certificate,1987,LOGIN -> DELETE,Windows 11 | MAC: 86:d8:20:c5:c3:ef | TCP/IP,normal,,,,10,6,2,1,0,1,1,1,0,1,0.0066591189827199,Normal,1.0
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,user,2023-10-01 10:37:04.540290,41.243.96.76,Cuba,port:22,biometric,3475,EXECUTE -> READ,macOS 14 | MAC: 5a:ac:34:2f:c2:31 | TCP/IP,normal,,,,10,6,2,1,0,0,0,0,2,-1,-0.0312158795122149,normal,0.9179087765158117
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,user,2023-10-01 10:53:39.822061,146.133.85.19,Belgium,/api/v1/data,biometric,837,EXECUTE -> DELETE,macOS 14 | MAC: a2:77:33:c2:8e:e8 | TCP/IP,normal,,,,10,6,2,1,0,1,1,0,2,1,0.0642596081666021,Normal,1.0
ec5b227c-dfde-4fbf-bff3-50bf766ecb15,user,2023-10-01 10:53:47.440083,70.68.34.249,Australia,/api/v1/data,biometric,244,EXECUTE -> LOGIN,Ubuntu 22.04 | MAC: 7c:07:2f:79:55:d0 | TCP/IP,normal,,,,10,6,2,1,0,0,0,0,2,-1,-0.0250883659497848,normal,0.8814816791440172
9d9262af-2c8d-4e44-a71e-43a6bf85bf0e,user,2023-10-01 11:00:17.106213,153.253.34.181,Mexico,/etc/passwd,password,3513,LOGIN -> EXECUTE,Windows 10 | MAC: c8:00:9b:92:6b:dc | TCP/IP,normal,,,,11,6,2,1,0,0,0,2,2,-1,-0.0074539516834936,normal,0.938033167526448
ec5b227c-dfde-4fbf-bff3-50bf766ecb15,user,2023-10-01 11:05:39.965490,70.68.34.249,Australia,db_query,biometric,1485,DELETE -> WRITE,Ubuntu 22.04 | MAC: 7c:07:2f:79:55:d0 | TCP/IP,normal,,,,11,6,2,1,0,1,1,0,2,1,0.0744241776649669,Normal,1.0
a3d70628-ece6-4fa2-bd51-66e6451b4cf3,user,2023-10-01 11:07:12.720628,142.14.44.201,Poland,port:22,biometric,1260,LOGOUT -> WRITE,Windows 11 | MAC: 66:a6:1c:75:10:a1 | TCP/IP,normal,,,,11,6,2,1,0,0,0,0,2,-1,-0.0101225881057048,normal,0.9444664213772274
